full_date,date_key,year,quarter,month_number,month_name,week_of_year,day_name,is_weekend,is_payday,month_start
2013-08-14,20130814,2013,Q3,8,August,33,Wednesday,0,0,2013-08-01
2013-08-15,20130815,2013,Q3,8,August,33,Thursday,0,1,2013-08-01
2013-08-16,20130816,2013,Q3,8,August,33,Friday,0,0,2013-08-01
2013-08-17,20130817,2013,Q3,8,August,33,Saturday,1,0,2013-08-01
2013-08-18,20130818,2013,Q3,8,August,33,Sunday,1,0,2013-08-01
2013-08-19,20130819,2013,Q3,8,August,34,Monday,0,0,2013-08-01
2013-08-20,20130820,2013,Q3,8,August,34,Tuesday,0,0,2013-08-01
2013-08-21,20130821,2013,Q3,8,August,34,Wednesday,0,0,2013-08-01
2013-08-22,20130822,2013,Q3,8,August,34,Thursday,0,0,2013-08-01
2013-08-23,20130823,2013,Q3,8,August,34,Friday,0,0,2013-08-01
2013-08-24,20130824,2013,Q3,8,August,34,Saturday,1,0,2013-08-01
2013-08-25,20130825,2013,Q3,8,August,34,Sunday,1,0,2013-08-01
2013-08-26,20130826,2013,Q3,8,August,35,Monday,0,0,2013-08-01
2013-08-27,20130827,2013,Q3,8,August,35,Tuesday,0,0,2013-08-01
2013-08-28,20130828,2013,Q3,8,August,35,Wednesday,0,0,2013-08-01
2013-08-29,20130829,2013,Q3,8,August,35,Thursday,0,0,2013-08-01
2013-08-30,20130830,2013,Q3,8,August,35,Friday,0,0,2013-08-01
2013-08-31,20130831,2013,Q3,8,August,35,Saturday,1,1,2013-08-01
2013-09-01,20130901,2013,Q3,9,September,35,Sunday,1,0,2013-09-01
2013-09-02,20130902,2013,Q3,9,September,36,Monday,0,0,2013-09-01
2013-09-03,20130903,2013,Q3,9,September,36,Tuesday,0,0,2013-09-01
2013-09-04,20130904,2013,Q3,9,September,36,Wednesday,0,0,2013-09-01
2013-09-05,20130905,2013,Q3,9,September,36,Thursday,0,0,2013-09-01
2013-09-06,20130906,2013,Q3,9,September,36,Friday,0,0,2013-09-01
2013-09-07,20130907,2013,Q3,9,September,36,Saturday,1,0,2013-09-01
2013-09-08,20130908,2013,Q3,9,September,36,Sunday,1,0,2013-09-01
2013-09-09,20130909,2013,Q3,9,September,37,Monday,0,0,2013-09-01
2013-09-10,20130910,2013,Q3,9,September,37,Tuesday,0,0,2013-09-01
2013-09-11,20130911,2013,Q3,9,September,37,Wednesday,0,0,2013-09-01
2013-09-12,20130912,2013,Q3,9,September,37,Thursday,0,0,2013-09-01
2013-09-13,20130913,2013,Q3,9,September,37,Friday,0,0,2013-09-01
2013-09-14,20130914,2013,Q3,9,September,37,Saturday,1,0,2013-09-01
2013-09-15,20130915,2013,Q3,9,September,37,Sunday,1,1,2013-09-01
2013-09-16,20130916,2013,Q3,9,September,38,Monday,0,0,2013-09-01
2013-09-17,20130917,2013,Q3,9,September,38,Tuesday,0,0,2013-09-01
2013-09-18,20130918,2013,Q3,9,September,38,Wednesday,0,0,2013-09-01
2013-09-19,20130919,2013,Q3,9,September,38,Thursday,0,0,2013-09-01
2013-09-20,20130920,2013,Q3,9,September,38,Friday,0,0,2013-09-01
2013-09-21,20130921,2013,Q3,9,September,38,Saturday,1,0,2013-09-01
2013-09-22,20130922,2013,Q3,9,September,38,Sunday,1,0,2013-09-01
2013-09-23,20130923,2013,Q3,9,September,39,Monday,0,0,2013-09-01
2013-09-24,20130924,2013,Q3,9,September,39,Tuesday,0,0,2013-09-01
2013-09-25,20130925,2013,Q3,9,September,39,Wednesday,0,0,2013-09-01
2013-09-26,20130926,2013,Q3,9,September,39,Thursday,0,0,2013-09-01
2013-09-27,20130927,2013,Q3,9,September,39,Friday,0,0,2013-09-01
2013-09-28,20130928,2013,Q3,9,September,39,Saturday,1,0,2013-09-01
2013-09-29,20130929,2013,Q3,9,September,39,Sunday,1,0,2013-09-01
